input,target
433215+819605,1252820
5+6,11
9+89,98
39+78,117
26547+23515,50062
8+5,13
407+789,1196
8+5,13
59317+3419,62736
45+78,123
553417+928326,1481743
8358+307,8665
138+957,1095
78+28,106
886+496,1382
5329+8718,14047
5+6,11
916696+784808,1701504
451465+270489,721954
49+85,134
52886+9576,62462
5+7,12
396+115,511
822788+248965,1071753
49+66,115
871337+150988,1022325
9+16,25
105185+347386,452571
79+39,118
1168+5666,6834
655+1335,1990
29+68,97
37+18,55
809+1325,2134
3608+2608,6216
4687+7238,11925
986+55,1041
5+9,14
2089+1219,3308
61935+99096,161031
8+9,17
43539+46247,89786
797+9115,9912
42516+35429,77945
9809+8417,18226
17+85,102
97+37,134
487407+164006,651413
276+867,1143
12805+59825,72630
4506+5335,9841
869235+226027,1095262
342167+73378,415545
307+366,673
457+865,1322
14299+401967,416266
987+168,1155
6086+83567,89653
7+9,16
845+657,1502
2367+6299,8666
80447+36998,117445
773877+214898,988775
435+326,761
5+6,11
7699+3675,11374
166+3286,3452
3175+2789,5964
79869+87277,167146
4877+3476,8353
7+6,13
817+227,1044
38+16,54
8768+367,9135
9679+545,10224
8938+7349,16287
6568+2725,9293
69909+16275,86184
65+57,122
58+67,125
178+87,265
7+6,13
33095+232715,265810
45296+91248,136544
9+5,14
639+198,837
491906+586515,1078421
67167+57265,124432
99+87,186
9458+3148,12606
9966+5078,15044
356+458,814
809+837,1646
6+8,14
7779+146,7925
48+96,144
858+689,1547
447+438,885
6+7,13
9+6,15
46+98,144
13439+52407,65846
400849+271096,671945
758+208,966
168+715,883
29415+31866,61281
38679+74969,113648
99+139,238
123286+120677,243963
403449+713498,1116947
183246+210248,393494
71749+64887,136636
9068+5945,15013
5+6,11
49029+787429,836458
17568+55128,72696
468+808,1276
4515+6807,11322
603859+977038,1580897
479+716,1195
9+6,15
808616+317127,1125743
4677+7379,12056
39826+14658,54484
44997+72785,117782
8867+7537,16404
636056+766279,1402335
6+9,15
71877+2625,74502
8+7,15
159+868,1027
98+139,237
161177+240056,401233
7+7,14
388+696,1084
219696+379236,598932
4077+4828,8905
8+7,15
47437+67138,114575
9449+647,10096
9+5,14
39538+39427,78965
470955+214565,685520
86+56,142
24749+51717,76466
86+58,144
8+5,13
759+495,1254
3707+9855,13562
74616+20045,94661
3825+6755,10580
926179+964058,1890237
38+58,96
7+9,16
643177+139005,782182
936+186,1122
39+56,95
49+25,74
29+17,46
53955+24026,77981
117758+891789,1009547
89+45,134
7665+1775,9440
5+7,12
24996+85695,110691
89617+18368,107985
5766+6158,11924
5277+1117,6394
8+5,13
809887+516566,1326453
945195+832737,1777932
7+9,16
935+687,1622
9409+24459,33868
295+616,911
85+35,120
5258+4598,9856
22905+14765,37670
6439+8158,14597
9785+4037,13822
349+3245,3594
77+625,702
38+89,127
60607+71595,132202
6419+6058,12477
59+18,77
6965+8166,15131
527+186,713
835525+312439,1147964
19+26,45
997998+552718,1550716
4908+5817,10725
8+548,556
5+9,14
79809+79358,159167
20718+51829,72547
6+8,14
9259+5469,14728
517+5189,5706
492518+925467,1417985
49+85,134
8167+8506,16673
357+736,1093
16+46,62
9+9,18
592969+222925,815894
653798+473835,1127633
598+776,1374
868+239,1107
7586+18147,25733
6+7,13
6139+7506,13645
8535+6158,14693
15+57,72
46+75,121
790106+432898,1223004
43418+3695,47113
7985+895,8880
66+7,73
96217+85186,181403
80679+6549,87228
153195+520587,673782
726+218,944
430308+548685,978993
3457+545,4002
7+8,15
5278+7588,12866
165+928,1093
11547+47967,59514
78+7,85
640167+582029,1222196
21358+56905,78263
55716+92858,148574
3107+2787,5894
4479+3945,8424
121728+715516,837244
42259+83137,125396
6+58,64
78299+11467,89766
669128+517789,1186917
926+269,1195
82425+25355,107780
43847+24985,68832
9+6,15
29959+90016,119975
9+7,16
690786+447369,1138155
28+765,793
5928+5556,11484
8816+5377,14193
7+8,15
6+45,51
3259+9538,12797
78+79,157
168+875,1043
56+9,65
7+8,15
80168+24567,104735
95+838,933
169+877,1046
91217+65589,156806
986+686,1672
5+5,10
87+78,165
29+59,88
69497+58886,128383
7059+5167,12226
97497+93095,190592
9626+3099,12725
75625+636896,712521
8385+5786,14171
7857+8546,16403
34848+34436,69284
758448+198667,957115
46+157,203
3387+4848,8235
95+39,134
35+39,74
5+8,13
208+825,1033
3458+4018,7476
802629+67246,869875
5+7,12
54789+87285,142074
1527+7426,8953
7+7,14
96686+51616,148302
56+38,94
7+8,15
58+47,105
45309+17425,62734
1459+9337,10796
78+96,174
788+339,1127
878519+910885,1789404
29+29,58
139+978,1117
9+8,17
8+6,14
